audio_path,text
hf_sample_wavs/audio_000.wav,mister quilter is the apostle of the middle classes and we are glad to welcome his gospel
hf_sample_wavs/audio_001.wav,nor is mister quilter's manner less interesting than his matter
hf_sample_wavs/audio_002.wav,he tells us that at this festive season of the year with christmas and roast beef looming before us similes drawn from eating and its results occur most readily to the mind
hf_sample_wavs/audio_003.wav,he has grave doubts whether sir frederick leighton's work is really greek after all and can discover in it but little of rocky ithaca
hf_sample_wavs/audio_004.wav,linnell's pictures are a sort of up guards and at em paintings and mason's exquisite idylls are as national as a jingo poem mister birket foster's landscapes smile at one much in the same way that mister carker used to flash his teeth and mister john collier gives his sitter a cheerful slap on the back before he says like a shampooer in a turkish bath next man
hf_sample_wavs/audio_005.wav,it is obviously unnecessary for us to point out how luminous these criticisms are how delicate in expression
hf_sample_wavs/audio_006.wav,on the general principles of art mister quilter writes with equal lucidity
hf_sample_wavs/audio_007.wav,painting he tells us is of a different quality to mathematics and finish in art is adding more fact
hf_sample_wavs/audio_008.wav,as for etchings they are of two kinds british and foreign
hf_sample_wavs/audio_009.wav,he laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes the customary appeal to the last judgment and reminds us that in the great days of art michael angelo was the furnishing upholsterer
hf_sample_wavs/audio_010.wav,near the fire and the ornaments fred brought home from india on the mantel board
hf_sample_wavs/audio_011.wav,in fact he is quite severe on mister ruskin for not recognising that a picture should denote the frailty of man and remarks with pleasing courtesy and felicitous grace that many phases of feeling
hf_sample_wavs/audio_012.wav,only unfortunately his own work never does get good
hf_sample_wavs/audio_013.wav,mister quilter has missed his chance for he has failed even to make himself the tupper of painting
hf_sample_wavs/audio_014.wav,by harry quilter m a
hf_sample_wavs/audio_015.wav,because you were sleeping instead of conquering the lovely rose princess has become a fiddle without a bow while poor shaggy sits there a cooing dove
hf_sample_wavs/audio_016.wav,he has gone and gone for good answered polychrome who had managed to squeeze into the room beside the dragon and had witnessed the occurrences with much interest
hf_sample_wavs/audio_017.wav,i have remained a prisoner only because i wished to be one and with this he stepped forward and burst the stout chains as easily as if they had been threads
hf_sample_wavs/audio_018.wav,the little girl had been asleep but she heard the raps and opened the door
hf_sample_wavs/audio_019.wav,the king has fled in disgrace and your friends are asking for you
